Origin,Destination,Flight Number
Bangkok,Delhi,G8 26
Bangkok,Delhi,G8 38
Bangkok,Delhi,G8 38
Bangkok,Delhi,G8 38
Bangkok,Delhi,G8 26
Bangkok,Delhi,G8 26
Bangkok,Delhi,G8 26
Bangkok,Goa,G8 26
Bangkok,Goa,G8 26
Bangkok,Hyderabad,G8 38
Bangkok,Hyderabad,G8 38
Bangkok,Hyderabad,G8 38
Bangkok,Hyderabad,G8 38
Bangkok,Jaipur,G8 26
Bangkok,Kolkata,G8 38
Bangkok,Kolkata,G8 38
Bangkok,Kolkata,G8 38
Bangkok,Kolkata,G8 38
Bangkok,Leh,G8 38
Bangkok,Leh,G8 38
Bangkok,Leh,G8 38
Bangkok,Leh,G8 38
